ratings,user,productid
4,121,1
4,121,2
1,121,3
3,121,4
3,121,5
4,121,6
1,121,7
1,121,8
4,121,9
1,121,10
2,121,11
1,121,12
4,121,13
4,121,14
1,121,15
1,121,16
3,121,17
2,121,18
4,121,19
2,121,20
3,121,21
3,121,22
1,121,23
4,121,24
1,121,25
3,121,26
2,121,27
4,121,28
3,121,29
4,121,30
1,121,31
2,121,32
2,121,33
4,1210,1
4,1210,2
2,1210,3
2,1210,4
3,1210,5
4,1210,6
3,1210,7
2,1210,8
1,1210,9
2,1210,10
4,1210,11
1,1210,12
2,1210,13
1,1210,14
3,1210,15
4,1210,16
1,1210,17
3,1210,18
1,1210,19
3,1210,20
4,1210,21
1,1210,22
3,1210,23
4,1210,24
4,1210,25
1,1210,26
4,1210,27
4,1210,28
2,1210,29
3,1210,30
3,1210,31
3,1210,32
2,1210,33
4,12100,1
4,12100,2
3,12100,3
1,12100,4
1,12100,5
1,12100,6
1,12100,7
3,12100,8
2,12100,9
2,12100,10
3,12100,11
3,12100,12
3,12100,13
4,12100,14
4,12100,15
1,12100,16
1,12100,17
4,12100,18
3,12100,19
1,12100,20
2,12100,21
3,12100,22
3,12100,23
1,12100,24
1,12100,25
2,12100,26
3,12100,27
4,12100,28
4,12100,29
4,12100,30
1,12100,31
3,12100,32
4,12100,33
4,121000,1
4,121000,2
1,121000,3
2,121000,4
4,121000,5
1,121000,6
3,121000,7
1,121000,8
4,121000,9
2,121000,10
4,121000,11
4,121000,12
2,121000,13
4,121000,14
3,121000,15
4,121000,16
2,121000,17
2,121000,18
1,121000,19
1,121000,20
1,121000,21
2,121000,22
2,121000,23
4,121000,24
1,121000,25
2,121000,26
1,121000,27
4,121000,28
3,121000,29
2,121000,30
4,121000,31
3,121000,32
3,121000,33
4,12101,1
4,12101,2
4,12101,3
3,12101,4
2,12101,5
4,12101,6
2,12101,7
1,12101,8
2,12101,9
1,12101,10
2,12101,11
4,12101,12
4,12101,13
2,12101,14
3,12101,15
3,12101,16
4,12101,17
1,12101,18
4,12101,19
1,12101,20
3,12101,21
3,12101,22
1,12101,23
3,12101,24
4,12101,25
4,12101,26
1,12101,27
1,12101,28
3,12101,29
4,12101,30
3,12101,31
3,12101,32
4,12101,33
4,12102,1
4,12102,2
4,12102,3
2,12102,4
1,12102,5
2,12102,6
2,12102,7
4,12102,8
1,12102,9
2,12102,10
3,12102,11
2,12102,12
3,12102,13
2,12102,14
3,12102,15
2,12102,16
3,12102,17
4,12102,18
2,12102,19
2,12102,20
2,12102,21
3,12102,22
1,12102,23
1,12102,24
3,12102,25
1,12102,26
4,12102,27
4,12102,28
2,12102,29
4,12102,30
4,12102,31
2,12102,32
2,12102,33
3,12103,1
1,12103,2
2,12103,3
4,12103,4
2,12103,5
1,12103,6
4,12103,7
2,12103,8
1,12103,9
4,12103,10
4,12103,11
4,12103,12
4,12103,13
4,12103,14
1,12103,15
2,12103,16
3,12103,17
2,12103,18
3,12103,19
2,12103,20
4,12103,21
1,12103,22
3,12103,23
1,12103,24
4,12103,25
4,12103,26
2,12103,27
4,12103,28
2,12103,29
3,12103,30
1,12103,31
1,12103,32
2,12103,33
3,12104,1
4,12104,2
3,12104,3
2,12104,4
3,12104,5
2,12104,6
4,12104,7
2,12104,8
3,12104,9
3,12104,10
2,12104,11
2,12104,12
2,12104,13
4,12104,14
2,12104,15
3,12104,16
4,12104,17
4,12104,18
2,12104,19
4,12104,20
1,12104,21
1,12104,22
4,12104,23
3,12104,24
4,12104,25
2,12104,26
1,12104,27
2,12104,28
2,12104,29
3,12104,30
1,12104,31
1,12104,32
2,12104,33
2,12105,1
3,12105,2
1,12105,3
4,12105,4
1,12105,5
4,12105,6
1,12105,7
4,12105,8
1,12105,9
2,12105,10
1,12105,11
4,12105,12
2,12105,13
2,12105,14
1,12105,15
4,12105,16
1,12105,17
4,12105,18
2,12105,19
4,12105,20
4,12105,21
3,12105,22
1,12105,23
4,12105,24
3,12105,25
1,12105,26
4,12105,27
4,12105,28
1,12105,29
1,12105,30
4,12105,31
3,12105,32
4,12105,33
2,12106,1
1,12106,2
1,12106,3
2,12106,4
4,12106,5
4,12106,6
4,12106,7
1,12106,8
1,12106,9
1,12106,10
2,12106,11
3,12106,12
1,12106,13
4,12106,14
2,12106,15
3,12106,16
1,12106,17
1,12106,18
1,12106,19
4,12106,20
4,12106,21
3,12106,22
3,12106,23
3,12106,24
3,12106,25
4,12106,26
3,12106,27
4,12106,28
1,12106,29
1,12106,30
1,12106,31
3,12106,32
2,12106,33
4,12107,1
4,12107,2
1,12107,3
2,12107,4
3,12107,5
3,12107,6
2,12107,7
4,12107,8
4,12107,9
1,12107,10
4,12107,11
1,12107,12
4,12107,13
2,12107,14
4,12107,15
3,12107,16
4,12107,17
1,12107,18
2,12107,19
1,12107,20
2,12107,21
2,12107,22
4,12107,23
4,12107,24
2,12107,25
2,12107,26
3,12107,27
3,12107,28
2,12107,29
2,12107,30
1,12107,31
1,12107,32
3,12107,33
1,12108,1
2,12108,2
4,12108,3
2,12108,4
2,12108,5
2,12108,6
3,12108,7
3,12108,8
3,12108,9
1,12108,10
3,12108,11
3,12108,12
4,12108,13
1,12108,14
1,12108,15
3,12108,16
2,12108,17
4,12108,18
2,12108,19
3,12108,20
4,12108,21
3,12108,22
4,12108,23
2,12108,24
3,12108,25
2,12108,26
2,12108,27
1,12108,28
3,12108,29
1,12108,30
2,12108,31
1,12108,32
2,12108,33
1,12109,1
1,12109,2
2,12109,3
4,12109,4
3,12109,5
1,12109,6
2,12109,7
1,12109,8
4,12109,9
4,12109,10
4,12109,11
1,12109,12
1,12109,13
4,12109,14
2,12109,15
4,12109,16
2,12109,17
4,12109,18
3,12109,19
2,12109,20
3,12109,21
3,12109,22
4,12109,23
4,12109,24
2,12109,25
4,12109,26
2,12109,27
2,12109,28
2,12109,29
2,12109,30
3,12109,31
3,12109,32
4,12109,33
4,1211,1
2,1211,2
4,1211,3
4,1211,4
1,1211,5
2,1211,6
2,1211,7
1,1211,8
4,1211,9
4,1211,10
3,1211,11
3,1211,12
4,1211,13
1,1211,14
1,1211,15
4,1211,16
1,1211,17
1,1211,18
4,1211,19
2,1211,20
4,1211,21
3,1211,22
4,1211,23
4,1211,24
1,1211,25
3,1211,26
1,1211,27
1,1211,28
4,1211,29
2,1211,30
3,1211,31
4,1211,32
1,1211,33
3,12110,1
3,12110,2
4,12110,3
3,12110,4
3,12110,5
2,12110,6
4,12110,7
2,12110,8
3,12110,9
3,12110,10
3,12110,11
3,12110,12
4,12110,13
2,12110,14
1,12110,15
1,12110,16
3,12110,17
4,12110,18
4,12110,19
3,12110,20
2,12110,21
4,12110,22
1,12110,23
3,12110,24
4,12110,25
1,12110,26
3,12110,27
2,12110,28
3,12110,29
1,12110,30
3,12110,31
4,12110,32
1,12110,33
3,12111,1
2,12111,2
4,12111,3
1,12111,4
1,12111,5
2,12111,6
4,12111,7
1,12111,8
1,12111,9
4,12111,10
4,12111,11
3,12111,12
4,12111,13
2,12111,14
3,12111,15
3,12111,16
3,12111,17
3,12111,18
4,12111,19
2,12111,20
3,12111,21
2,12111,22
2,12111,23
2,12111,24
2,12111,25
2,12111,26
4,12111,27
3,12111,28
2,12111,29
3,12111,30
1,12111,31
4,12111,32
3,12111,33
2,12112,1
4,12112,2
1,12112,3
3,12112,4
1,12112,5
3,12112,6
4,12112,7
1,12112,8
2,12112,9
3,12112,10
4,12112,11
3,12112,12
3,12112,13
3,12112,14
2,12112,15
3,12112,16
3,12112,17
3,12112,18
4,12112,19
4,12112,20
2,12112,21
2,12112,22
4,12112,23
4,12112,24
3,12112,25
1,12112,26
1,12112,27
4,12112,28
1,12112,29
2,12112,30
3,12112,31
3,12112,32
1,12112,33
3,12113,1
2,12113,2
3,12113,3
2,12113,4
3,12113,5
1,12113,6
4,12113,7
3,12113,8
3,12113,9
4,12113,10
2,12113,11
4,12113,12
2,12113,13
3,12113,14
3,12113,15
3,12113,16
2,12113,17
3,12113,18
3,12113,19
4,12113,20
4,12113,21
2,12113,22
4,12113,23
1,12113,24
1,12113,25
4,12113,26
3,12113,27
1,12113,28
2,12113,29
4,12113,30
1,12113,31
2,12113,32
2,12113,33
1,12114,1
2,12114,2
2,12114,3
2,12114,4
4,12114,5
4,12114,6
1,12114,7
3,12114,8
4,12114,9
3,12114,10
1,12114,11
1,12114,12
4,12114,13
2,12114,14
1,12114,15
1,12114,16
3,12114,17
3,12114,18
1,12114,19
2,12114,20
4,12114,21
3,12114,22
1,12114,23
4,12114,24
3,12114,25
3,12114,26
4,12114,27
2,12114,28
4,12114,29
4,12114,30
4,12114,31
2,12114,32
4,12114,33
4,12115,1
2,12115,2
4,12115,3
3,12115,4
1,12115,5
2,12115,6
2,12115,7
1,12115,8
1,12115,9
3,12115,10
4,12115,11
4,12115,12
1,12115,13
4,12115,14
3,12115,15
3,12115,16
4,12115,17
4,12115,18
3,12115,19
4,12115,20
1,12115,21
1,12115,22
3,12115,23
3,12115,24
2,12115,25
3,12115,26
4,12115,27
3,12115,28
2,12115,29
2,12115,30
2,12115,31
3,12115,32
4,12115,33
2,12116,1
4,12116,2
2,12116,3
1,12116,4
2,12116,5
1,12116,6
1,12116,7
4,12116,8
1,12116,9
4,12116,10
3,12116,11
4,12116,12
3,12116,13
1,12116,14
2,12116,15
3,12116,16
1,12116,17
1,12116,18
2,12116,19
1,12116,20
3,12116,21
3,12116,22
1,12116,23
4,12116,24
2,12116,25
1,12116,26
1,12116,27
4,12116,28
4,12116,29
1,12116,30
3,12116,31
2,12116,32
4,12116,33
3,12117,1
3,12117,2
2,12117,3
1,12117,4
2,12117,5
4,12117,6
3,12117,7
2,12117,8
4,12117,9
1,12117,10
3,12117,11
1,12117,12
4,12117,13
4,12117,14
3,12117,15
1,12117,16
4,12117,17
3,12117,18
2,12117,19
4,12117,20
2,12117,21
4,12117,22
2,12117,23
2,12117,24
4,12117,25
1,12117,26
3,12117,27
2,12117,28
3,12117,29
3,12117,30
4,12117,31
4,12117,32
3,12117,33
4,12118,1
2,12118,2
4,12118,3
3,12118,4
2,12118,5
3,12118,6
3,12118,7
2,12118,8
3,12118,9
3,12118,10
4,12118,11
4,12118,12
1,12118,13
4,12118,14
3,12118,15
4,12118,16
1,12118,17
4,12118,18
2,12118,19
2,12118,20
4,12118,21
4,12118,22
3,12118,23
1,12118,24
3,12118,25
3,12118,26
1,12118,27
1,12118,28
2,12118,29
3,12118,30
3,12118,31
1,12118,32
3,12118,33
1,12119,1
2,12119,2
1,12119,3
4,12119,4
1,12119,5
2,12119,6
3,12119,7
2,12119,8
4,12119,9
1,12119,10
3,12119,11
1,12119,12
2,12119,13
4,12119,14
1,12119,15
1,12119,16
2,12119,17
3,12119,18
1,12119,19
4,12119,20
1,12119,21
4,12119,22
4,12119,23
1,12119,24
4,12119,25
2,12119,26
3,12119,27
2,12119,28
2,12119,29
2,12119,30
1,12119,31
4,12119,32
4,12119,33
3,1212,1
4,1212,2
